type,word1,word2,cosine
related,foot,hand,0.55069966145371874
related,stroller,car,0.43117719218614226
related,juic,milk,0.71096271572705616
related,mouth,nose,0.69362326696385701
related,book,ball,0.29073856030497403
related,blanket,diaper,0.52490226748063895
related,bottl,spoon,0.47165861800515274
related,dog,baby,0.048514650707260847
related,foot,sock,0.56849181851832919
related,cooki,banana,0.52113984500368349
unrelated,sock,juic,0.17620991880439821
unrelated,milk,foot,0.017896811436932444
unrelated,banana,nose,0.11117093069754369
unrelated,mouth,cooki,0.29515949890897475
unrelated,blanket,dog,0.221154754802494
unrelated,baby,spoon,-0.084157055534362715
unrelated,book,diaper,0.29024004450549301
unrelated,juic,car,0.16472713773679337
unrelated,nose,bottl,0.29865475501722305
unrelated,hand,stroller,0.32651672236022289
unrelated,mouth,ball,0.19941315916092889
